step,message,signal,can_id_hex,variable,set_value,expected,actual,canoe_result,canoe_note,trace32_result,trace32_note,source_line,factor,offset,bits
1,CASU_1,CASU_1_Vbat,0x66,ASU_KL30_M,0,0,,NOT_MERGED,,,,356,0.01,0.0,12
2,CASU_1,CASU_1_Vbat,0x66,ASU_KL30_M,15,15,,NOT_MERGED,,,,356,0.01,0.0,12
3,CASU_1,CASU_1_Vbat,0x66,ASU_KL30_M,30,30,,NOT_MERGED,,,,356,0.01,0.0,12
4,CASU_1,CASU_1_Vmot,0x66,ASU_KL30_M,0,0,,NOT_MERGED,,,,352,0.01,0.0,12
5,CASU_1,CASU_1_Vmot,0x66,ASU_KL30_M,15,15,,NOT_MERGED,,,,352,0.01,0.0,12
6,CASU_1,CASU_1_Vmot,0x66,ASU_KL30_M,30,30,,NOT_MERGED,,,,352,0.01,0.0,12
7,CASU_1,CASU_1_Vsae,0x66,ASU_KL30_V,0,0,,NOT_MERGED,,,,292,0.01,0.0,12
8,CASU_1,CASU_1_Vsae,0x66,ASU_KL30_V,15,15,,NOT_MERGED,,,,292,0.01,0.0,12
9,CASU_1,CASU_1_Vsae,0x66,ASU_KL30_V,30,30,,NOT_MERGED,,,,292,0.01,0.0,12
10,CASU_1,CASU_1_ModelNumber,0x66,iWrite2,0,0,,NOT_MERGED,,,,280,1.0,0.0,3
11,CASU_1,CASU_1_ModelNumber,0x66,iWrite2,3,3,,NOT_MERGED,,,,280,1.0,0.0,3
12,CASU_1,CASU_1_ModelNumber,0x66,iWrite2,7,7,,NOT_MERGED,,,,280,1.0,0.0,3
13,CASU_2,CASU_2_CRC,0x69,iWrite11,0,0,,NOT_MERGED,,,,316,1.0,0.0,16
14,CASU_2,CASU_2_CRC,0x69,iWrite11,32767.5,32767.5,,NOT_MERGED,,,,316,1.0,0.0,16
15,CASU_2,CASU_2_CRC,0x69,iWrite11,65535,65535,,NOT_MERGED,,,,316,1.0,0.0,16
16,CASU_2,CASU_2_RollgCntr,0x69,iWrite16,0,0,,NOT_MERGED,,,,336,1.0,0.0,8
17,CASU_2,CASU_2_RollgCntr,0x69,iWrite16,127.5,127.5,,NOT_MERGED,,,,336,1.0,0.0,8
18,CASU_2,CASU_2_RollgCntr,0x69,iWrite16,255,255,,NOT_MERGED,,,,336,1.0,0.0,8
19,CASU_2,CASU_2_PtPressVld,0x69,iWrite30,0,0,,NOT_MERGED,,,,392,1.0,0.0,2
20,CASU_2,CASU_2_PtPressVld,0x69,iWrite30,1,1,,NOT_MERGED,,,,392,1.0,0.0,2
21,CASU_2,CASU_2_PtTemp,0x69,ASU_SnsrTemp,-40,-40,,NOT_MERGED,,,,288,0.1,-40.0,11
22,CASU_2,CASU_2_PtTemp,0x69,ASU_SnsrTemp,42.5,42.5,,NOT_MERGED,,,,288,0.1,-40.0,11
23,CASU_2,CASU_2_PtTemp,0x69,ASU_SnsrTemp,125,125,,NOT_MERGED,,,,288,0.1,-40.0,11
24,CASU_2,CASU_2_PtTempVld,0x69,iWrite29,0,0,,NOT_MERGED,,,,388,1.0,0.0,2
25,CASU_2,CASU_2_PtTempVld,0x69,iWrite29,1,1,,NOT_MERGED,,,,388,1.0,0.0,2
26,CASU_2,CASU_2_PcbTemp,0x69,ASU_mcuTemp,-40,-40,,NOT_MERGED,,,,328,0.1,-40.0,11
27,CASU_2,CASU_2_PcbTemp,0x69,ASU_mcuTemp,55,55,,NOT_MERGED,,,,328,0.1,-40.0,11
28,CASU_2,CASU_2_PcbTemp,0x69,ASU_mcuTemp,150,150,,NOT_MERGED,,,,328,0.1,-40.0,11
29,CASU_2,CASU_2_PcbTempVld,0x69,iWrite17,0,0,,NOT_MERGED,,,,340,1.0,0.0,2
30,CASU_2,CASU_2_PcbTempVld,0x69,iWrite17,1,1,,NOT_MERGED,,,,340,1.0,0.0,2
31,CASU_2,CASU_2_MosTemp,0x69,ASU_MotMosTemp,-40,-40,,NOT_MERGED,,,,368,0.1,-40.0,11
32,CASU_2,CASU_2_MosTemp,0x69,ASU_MotMosTemp,55,55,,NOT_MERGED,,,,368,0.1,-40.0,11
33,CASU_2,CASU_2_MosTemp,0x69,ASU_MotMosTemp,150,150,,NOT_MERGED,,,,368,0.1,-40.0,11
34,CASU_2,CASU_2_MosTempVld,0x69,iWrite13,0,0,,NOT_MERGED,,,,324,1.0,0.0,2
35,CASU_2,CASU_2_MosTempVld,0x69,iWrite13,1,1,,NOT_MERGED,,,,324,1.0,0.0,2
36,CASU_2,CASU_2_PtPressRAW,0x69,iWrite25,0,0,,NOT_MERGED,,,,372,1.0,0.0,13
37,CASU_2,CASU_2_PtPressRAW,0x69,iWrite25,2500,2500,,NOT_MERGED,,,,372,1.0,0.0,13
38,CASU_2,CASU_2_PtPressRAW,0x69,iWrite25,5000,5000,,NOT_MERGED,,,,372,1.0,0.0,13
39,CASU_2,CASU_2_PtTempRAW,0x69,iWrite10,0,0,,NOT_MERGED,,,,312,1.0,0.0,13
40,CASU_2,CASU_2_PtTempRAW,0x69,iWrite10,2500,2500,,NOT_MERGED,,,,312,1.0,0.0,13
41,CASU_2,CASU_2_PtTempRAW,0x69,iWrite10,5000,5000,,NOT_MERGED,,,,312,1.0,0.0,13
42,CASU_2,CASU_2_PtPress,0x69,ASU_SnsrPressure,0,0,,NOT_MERGED,,,,364,0.01,0.0,12
